Method,Domain of Origin,Primary Application Domains
Ordinary Least Squares (OLS),Statistics,"Economics, Econometrics, Social Sciences, Finance, Psychology, Marketing Research"
Difference-in-Differences (DiD),Econometrics,"Economics, Public Policy, Healthcare Policy, Labor Economics, Education Research"
Instrumental Variables (IV),Econometrics,"Economics, Epidemiology, Social Sciences, Political Science, Development Economics"
Regression Discontinuity Design (RDD),Econometrics,"Economics, Education Policy, Political Science, Development Economics, Healthcare"
Propensity Score Matching (PSM),Statistics,"Epidemiology, Medical Research, Economics, Social Policy Evaluation, Marketing"
Synthetic Control Method,Econometrics,"Comparative Politics, Economics, Policy Evaluation, Regional Studies"
Fixed Effects Regression,Econometrics,"Panel Data Analysis, Labor Economics, Finance, Political Science, Healthcare Economics"
Random Effects Regression,Statistics,"Panel Data Analysis, Healthcare Research, Education Studies, Organizational Research"
Generalized Method of Moments (GMM),Econometrics,"Finance, Macroeconomics, Asset Pricing, Dynamic Panel Data Analysis"
Two-Stage Least Squares (2SLS),Econometrics,"Economics, Finance, Agricultural Economics, Environmental Economics"
Three-Stage Least Squares (3SLS),Econometrics,"Simultaneous Equations Models, Macroeconomics, Agricultural Economics"
Quantile Regression,Statistics,"Economics, Finance, Healthcare, Environmental Science, Income Distribution Studies"
Vector Autoregression (VAR),Econometrics,"Macroeconomics, Finance, Forecasting, Monetary Policy Analysis"
Cointegration Analysis,Time Series Econometrics,"Finance, Macroeconomics, Energy Economics, Exchange Rate Analysis"
ARCH/GARCH Models,Financial Econometrics,"Finance, Risk Management, Volatility Forecasting, Asset Pricing"
Principal Component Analysis (PCA),Statistics,"Data Science, Finance, Genomics, Image Processing, Quality Control"
Factor Analysis,Psychology,"Social Sciences, Marketing Research, Psychometrics, Finance, Education"
Independent Component Analysis (ICA),Signal Processing,"Neuroscience, Audio Processing, Medical Imaging, Telecommunications"
Linear Discriminant Analysis (LDA),Statistics,"Pattern Recognition, Biometrics, Marketing Segmentation, Medical Diagnosis"
Logistic Regression,Statistics,"Medicine, Epidemiology, Marketing, Credit Scoring, Social Sciences"
Probit Regression,Statistics,"Economics, Political Science, Finance, Transportation Studies"
Poisson Regression,Statistics,"Epidemiology, Insurance, Accident Analysis, Count Data Modeling"
Negative Binomial Regression,Statistics,"Epidemiology, Ecology, Economics, Overdispersed Count Data Analysis"
Multinomial Logit Model,Econometrics,"Transportation, Marketing, Labor Economics, Discrete Choice Analysis"
Conditional Logit Model,Econometrics,"Urban Economics, Transportation, Environmental Economics, Marketing"
Ordered Probit/Logit Models,Statistics,"Survey Research, Quality of Life Studies, Economics, Political Science"
Tobit Regression,Econometrics,"Economics, Finance, Labor Economics, Censored Data Analysis"
Heckman Selection Model,Econometrics,"Labor Economics, Wage Studies, Sample Selection Correction, Education"
Survival Analysis,Biostatistics,"Medicine, Epidemiology, Reliability Engineering, Customer Churn Analysis"
Cox Proportional Hazards Model,Biostatistics,"Clinical Trials, Epidemiology, Oncology, Engineering Reliability"
Kaplan-Meier Estimator,Biostatistics,"Clinical Research, Survival Studies, Reliability Testing, Event History Analysis"
Hazard Models,Statistics,"Duration Analysis, Unemployment Studies, Event History, Demography"
Neural Networks,Neuroscience,"Machine Learning, Computer Vision, Natural Language Processing, Finance, Robotics"
Convolutional Neural Networks (CNN),Neuroscience,"Computer Vision, Medical Imaging, Autonomous Vehicles, Facial Recognition"
Recurrent Neural Networks (RNN),Cognitive Science,"Natural Language Processing, Time Series, Speech Recognition, Music Generation"
Long Short-Term Memory (LSTM),Computer Science,"Time Series Forecasting, Natural Language Processing, Speech Recognition, Finance"
Gated Recurrent Units (GRU),Computer Science,"Natural Language Processing, Time Series, Speech Processing, Video Analysis"
Transformer Architecture,Natural Language Processing,"Machine Translation, Text Generation, Computer Vision, Protein Folding"
BERT (Bidirectional Encoder),Natural Language Processing,"Question Answering, Sentiment Analysis, Named Entity Recognition, Text Classification"
GPT (Generative Pre-trained Transformer),Natural Language Processing,"Text Generation, Code Generation, Chatbots, Creative Writing"
Attention Mechanism,Cognitive Neuroscience,"Machine Translation, Computer Vision, Speech Recognition, Recommendation Systems"
Autoencoders,Information Theory,"Dimensionality Reduction, Anomaly Detection, Denoising, Feature Learning"
Variational Autoencoders (VAE),Information Theory,"Generative Modeling, Drug Discovery, Image Generation, Anomaly Detection"
Generative Adversarial Networks (GAN),Game Theory,"Image Synthesis, Data Augmentation, Style Transfer, Drug Design"
Support Vector Machines (SVM),Statistical Learning Theory,"Classification, Bioinformatics, Image Recognition, Text Categorization"
Decision Trees,Operations Research,"Medicine, Finance, Marketing, Customer Segmentation, Risk Assessment"
Random Forest,Statistics,"Ecology, Finance, Genomics, Fraud Detection, Predictive Maintenance"
Gradient Boosting (XGBoost, LightGBM),Machine Learning,"Kaggle Competitions, Finance, Healthcare, E-commerce, Fraud Detection"
AdaBoost,Machine Learning,"Face Detection, Classification Problems, Ensemble Learning, Pattern Recognition"
K-Means Clustering,Statistics,"Market Segmentation, Image Compression, Anomaly Detection, Document Clustering"
Hierarchical Clustering,Statistics,"Genomics, Social Network Analysis, Document Organization, Taxonomy Development"
DBSCAN,Computer Science,"Anomaly Detection, Spatial Data Analysis, Geolocation Clustering"
Gaussian Mixture Models,Statistics,"Image Segmentation, Speaker Recognition, Density Estimation, Bioinformatics"
Hidden Markov Models (HMM),Statistical Modeling,"Speech Recognition, Bioinformatics, Financial Modeling, Natural Language Processing"
Markov Chain Monte Carlo (MCMC),Statistical Physics,"Bayesian Statistics, Computational Biology, Physics Simulations, Machine Learning"
Gibbs Sampling,Statistical Physics,"Bayesian Inference, Computational Statistics, Image Processing, Genetics"
Metropolis-Hastings Algorithm,Statistical Physics,"Bayesian Analysis, Physics, Chemistry, Statistical Inference"
Bayesian Networks,Probability Theory,"Medical Diagnosis, Risk Assessment, Decision Support Systems, Genetics"
Naive Bayes Classifier,Probability Theory,"Spam Filtering, Text Classification, Sentiment Analysis, Medical Diagnosis"
Kalman Filter,Aerospace Engineering,"Robotics, Navigation Systems, Economics, Signal Processing, Control Systems"
Particle Filter,Signal Processing,"Object Tracking, Robotics, Computer Vision, Localization"
Extended Kalman Filter (EKF),Control Theory,"Robotics, Navigation, State Estimation, Sensor Fusion"
Fourier Transform,Mathematics,"Signal Processing, Audio Analysis, Image Processing, Telecommunications"
Wavelet Transform,Mathematics,"Image Compression, Signal Denoising, Medical Imaging, Seismology"
Fast Fourier Transform (FFT),Mathematics,"Audio Processing, Spectroscopy, Communications, Vibration Analysis"
Laplace Transform,Mathematics,"Control Systems, Electrical Engineering, Signal Processing, Physics"
Z-Transform,Mathematics,"Digital Signal Processing, Control Systems, Discrete-Time Systems"
Monte Carlo Simulation,Statistical Physics,"Finance, Risk Analysis, Physics, Operations Research, Project Management"
Latin Hypercube Sampling,Statistics,"Uncertainty Quantification, Risk Analysis, Simulation, Sensitivity Analysis"
Bootstrapping,Statistics,"Econometrics, Epidemiology, Machine Learning, Confidence Interval Estimation"
Cross-Validation,Statistics,"Machine Learning, Predictive Modeling, Model Selection, Performance Evaluation"
Jackknife Resampling,Statistics,"Bias Estimation, Variance Estimation, Robust Statistics"
Permutation Tests,Statistics,"Clinical Trials, A/B Testing, Hypothesis Testing, Genetics"
